Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1689.527421999998
FDW14,OUT017,1175.2302119999993
NCN55,OUT010,658.1965640000001
FDQ58,OUT017,2536.7246320000013
FDY38,OUT027,6891.955461999996
FDH56,OUT046,1997.7728480000012
FDL48,OUT018,671.898728
FDC48,OUT027,2061.9759420000023
FDN33,OUT045,991.2297240000004
FDA36,OUT017,2456.2227540000017
FDT44,OUT017,1733.6300139999987
FDQ56,OUT045,1715.0874840000004
NCC54,OUT019,617.003518
FDU11,OUT049,1903.9150220000001
DRL59,OUT013,855.5862899999997
FDM24,OUT049,2234.391509999999
FDI57,OUT045,3219.129683999999
DRC12,OUT018,3263.4919379999997
NCM42,OUT027,2698.9068539999994
FDA46,OUT010,434.9604820000001
FDA31,OUT013,2690.224822000001
NCJ31,OUT035,3662.2329
FDG52,OUT046,699.38961
NCL19,OUT019,399.50663199999974
FDS10,OUT035,2803.5639560000004
FDX22,OUT010,581.1368720000005
NCF19,OUT035,696.9660980000001
NCE06,OUT046,2246.462464
DRC27,OUT046,2916.2039999999993
FDE21,OUT035,1790.7756280000003
NCR42,OUT019,68.17126200000008
FDX51,OUT018,2829.410311999999
NCR06,OUT018,545.196988
FDU31,OUT027,5955.561025999998
FDU59,OUT017,2287.748722
FDR03,OUT027,5205.497377999999
FDS49,OUT027,2581.6794479999985
FDD48,OUT010,211.53131800000003
NCF18,OUT017,3129.473056
NCD43,OUT027,2634.3642019999993
NCD54,OUT018,2076.6634900000013
FDY19,OUT010,238.90235600000003
NCY54,OUT017,2537.7832540000018
NCL19,OUT018,2254.951413999999
FDP23,OUT010,439.31481399999984
FDC26,OUT013,1683.908069999998
FDR14,OUT010,140.1242679999999
NCS41,OUT035,2848.3989279999996
FDF41,OUT035,4739.017923999999
FDU34,OUT046,2452.227954000001
DRH11,OUT046,842.8029299999994
FDM03,OUT013,2150.973428000001
FDS31,OUT017,3334.213213999999
FDJ20,OUT017,1999.2775559999998
FDV44,OUT027,4656.112507999997
FDG02,OUT049,3351.816966
FDA09,OUT013,3679.357275999998
FDT04,OUT013,637.696582
FDL58,OUT019,646.6649079999996
FDE52,OUT045,1268.7085319999999
FDW12,OUT035,2627.606332000001
FDL51,OUT017,3720.4171619999934
NCY42,OUT027,2774.2221499999996
FDR07,OUT017,1482.8764180000007
FDN40,OUT045,2035.5370239999988
FDB35,OUT027,2504.007220000001
FDA22,OUT017,2474.365803999999
NCL06,OUT046,5059.554018000002
FDI35,OUT013,3951.849242000002
NCW42,OUT045,3690.043366000001
NCX06,OUT049,3051.5012179999994
FDC37,OUT027,2650.4565880000014
FDZ14,OUT018,2019.6843259999991
DRG49,OUT049,5134.483150000002
NCG06,OUT045,3787.350035999999
DRC36,OUT045,2794.6355780000026
FDV21,OUT019,490.9942099999999
FDB53,OUT046,2845.489382000001
DRP47,OUT019,480.4945440000003
FDA14,OUT013,2276.849575999999
DRC24,OUT035,2661.382366000001
FDW21,OUT018,1641.6697180000006
NCH29,OUT046,2007.300446000001
FDU58,OUT013,2832.892446
FDY27,OUT017,2393.2447320000006
FDV56,OUT035,1499.727816
FDT59,OUT046,3726.369414000002
FDB23,OUT046,3527.448348000003
FDR49,OUT045,734.463954
FDB03,OUT010,664.9144859999998
FDN39,OUT045,2458.9991399999994
FDX02,OUT027,5444.792555999995
FDQ16,OUT027,2493.1879699999995
FDU35,OUT018,1751.3070040000011
NCT29,OUT013,1928.9823919999992
FDZ27,OUT046,598.8870999999998
FDN57,OUT017,2221.248617999999
FDA03,OUT018,2328.9550840000006
FDZ36,OUT045,3903.931615999997
NCU05,OUT013,1262.4433539999998
FDT39,OUT018,2077.9751160000014
FDK60,OUT017,1699.321339999999
FDZ25,OUT017,3016.4801379999994
FDG12,OUT046,2471.216569999999
DRB01,OUT019,457.5976820000002
NCC43,OUT027,6217.420165999999
FDX13,OUT019,459.65500400000013
FDM22,OUT049,913.1713320000003
FDJ03,OUT027,1556.760244
FDU14,OUT018,3217.1123099999986
FDB33,OUT010,458.5830659999998
FDP27,OUT046,3986.8303739999974
FDO38,OUT010,156.32984000000005
FDE28,OUT027,6774.501683999997
